year_month,inflacion,inflacion_mes_anterior,cotizBlue_Prom,cotizBlue_EM,cotizOficial_Prom,cotizOficial_EM,brecha_dolar
2017-01,1.59,,16.85,16.64,16.21,16.21,0.64
2017-02,2.07,1.59,16.42,16.28,15.91,15.81,0.51
2017-03,2.37,2.07,16.06,15.98,15.82,15.67,0.24
2017-04,2.66,2.37,15.92,15.99,15.67,15.74,0.25
2017-05,1.43,2.66,16.1,16.39,16.0,16.4,0.1
2017-06,1.19,1.43,16.51,16.84,16.4,16.88,0.11
2017-07,1.73,1.19,17.69,18.09,17.47,17.94,0.22
2017-08,1.4,1.73,18.28,18.23,17.72,17.63,0.56
2017-09,1.9,1.4,17.95,17.91,17.55,17.63,0.4
2017-10,1.51,1.9,17.97,18.1,17.76,17.95,0.21
2017-11,1.38,1.51,18.05,17.96,17.79,17.68,0.26
2017-12,3.14,1.38,18.3,19.28,18.05,18.95,0.25
2018-01,1.76,3.14,19.66,19.95,19.36,19.95,0.3
2018-02,2.42,1.76,20.15,20.35,20.15,20.42,0.0
2018-03,2.34,2.42,20.74,20.76,20.56,20.46,0.18
2018-04,2.74,2.34,20.67,21.0,20.54,20.9,0.13
2018-05,2.08,2.74,24.61,25.97,24.23,25.55,0.38
2018-06,3.74,2.08,27.46,29.4,27.26,29.66,0.2
2018-07,3.1,3.74,28.75,28.45,28.29,28.05,0.46
2018-08,3.89,3.1,30.99,38.0,30.91,38.0,0.08
2018-09,6.53,3.89,39.2,41.3,39.42,41.94,-0.22
2018-10,5.39,6.53,37.83,36.5,38.08,36.98,-0.25
2018-11,3.15,5.39,36.53,38.0,37.49,38.82,-0.96
2018-12,2.57,3.15,38.22,40.5,38.86,38.83,-0.64
2019-01,2.91,2.57,39.05,37.5,38.44,38.31,0.61
2019-02,3.77,2.91,38.4,39.0,39.45,40.14,-1.05
2019-03,4.68,3.77,41.64,43.65,42.55,44.4,-0.91
2019-04,3.44,4.68,44.27,46.0,44.36,45.36,-0.09
2019-05,3.06,3.44,46.1,46.0,46.08,46.1,0.02
2019-06,2.72,3.06,45.06,43.8,44.95,43.7,0.11
2019-07,2.2,2.72,43.98,45.2,43.75,45.03,0.23
2019-08,3.95,2.2,54.84,63.0,54.64,62.04,0.2
2019-09,5.89,3.95,61.06,61.25,58.79,59.82,2.27
2019-10,3.29,5.89,65.55,69.0,61.4,63.22,4.15
2019-11,4.25,3.29,66.75,69.25,63.01,62.93,3.74
2019-12,3.74,4.25,72.37,78.5,63.01,62.99,9.36
